"Lincoln Township","Lincoln Township","Q7996268"
"Stony Creek Township","Stony Creek Township","Q7996260"
"Hartford Township","Hartford Township","Q7996231"
"National Assembly","National Assembly","Q1760847"
"House of Representatives","House of Representatives","Q1501976"
"National Assembly","National Assembly","Q1319595"
"Flag of Alexeyevsky District","flag of Alexeyevsky District","Q6677505"
"Flag of Nikolayevsky District","flag of Nikolayevsky District","Q18216724"
"Flag of Kuybyshevsky District","flag of Kuybyshevsky District","Q4486711"
"Sirkeci railway station","Sirkeci (Marmaray) railway station","Q109803831"
"Potsdamer Platz S-Bahn station","Potsdamer Platz S-Bahn station","Q106086519"
"München Hbf (tief) station","München Hbf (tief) station","Q105635178"
"Santa Maria di Licodia Sud railway station","Santa Maria di Licodia Sud railway station","Q87195419"
"S-Bahnhof Hamburg-Altona","S-Bahnhof Hamburg-Altona","Q70585725"
"Stuttgart Feuersee station","Stuttgart Feuersee station","Q53261512"
"Gondolin Cdve","Gondolin Cave","Q5581472"
"Ginkgo Petrified Forest State Par","Ginkgo Petrified Forest State Park","Q5563141"
"Cropers Cave","Coopers Cave","Q5167942"
"Prokop vally","Prokop valley","Q3564060"
"Parsey, Sage, Rosemary and Thyme","Parsley, Sage, Rosemary and Thyme","Q108396699"
"Sounds of ilhnce","Sounds of Silence","Q108396514"
"Centisede","Centipede","Q108389999"
"uotones","Duotones","Q108389895"
"The Nightfny","The Nightfly","Q108334941"
"Herkimer County","Herkimer County","Q487564"
"New York","New York","Q1384"
"Rensselaer County","Rensselaer County","Q156566"
"Genesee County","Genesee County","Q115014"
"Essex County","Essex County","Q114992"
"Delaware County","Delaware County","Q115289"
"Putnam County","Putnam County","Q115266"
"Chemung Cownty","Chemung County","Q854630"
"St. Lawrence Couny","St. Lawrence County","Q500569"
"Chenango ounty","Chenango County","Q487616"
"Edsforsen","Edsforsen","Q32232812"
"Dunderforsen","Dunderforsen","Q32232255"
"Brattforsen","Brattforsen","Q32227585"
"Brattforsen","Brattforsen","Q32227577"
"Emily Falls","Emily Falls","Q32193007"
"Storfossen","Storfossen","Q34760029"
"Spanish cuiser Canarias.","Canarias","Q3655111"
"USS Qincy","USS Quincy","Q3268124"
"S Astoria","USS Astoria","Q2707611"
"MS York (90)","HMS York","Q2631516"
"HMS Devonshie","HMS Devonshire","Q2555195"
"Landesbühne (Lenz)","Landesbühne (Lenz)","Q67200083"
"Siegfried Lenz","Siegfried Lenz","Q76412"
"Hoffmann und Campe","Hoffmann und Campe","Q2152124"
"Narrative of a Second Expedition to the Shores of the Polar Sea in the Years 1825, 1826, and 1827","Narrative of a Second Expedition to the Shores of the Polar Sea in the Years 1825, 1826, and 1827","Q67086798"
"John Richardson","John Richardson","Q545944"
"John Murray","John Murray","Q1232629"
"The life and travels of Thomas Simpson, the Arctic discoverer","The life and travels of Thomas Simpson, the Arctic discoverer","Q74039895"
"Alexander Simpson","Alexander Simpson","Q74029515"
"Richard Bentley","Richard Bentley","Q172299"
"Ipui onac","Ipui onac","Q12259693"
"public domain","public domain","Q19652"
"fable","fable","Q693"
"The Adventures of Ulysses","The Adventures of Ulysses","Q3828522"
"novel","novel","Q8261"
"Mr. and Mrs. Elliot","Mr. and Mrs. Elliot","Q24041092"
"short story","short story","Q49084"
"De binocle","De binocle","Q19973853"
"ines Lightkouse","Sines Lighthouse","Q1024908"
"Socreiras Lighthouse","Sobreiras Lighthouse","Q10280206"
"Outo Lighthouse","Outão Lighthouse","Q10280193"
"Forte do avalo Lighthouse","Forte do Cavalo Lighthouse","Q10280187"
"anta MartaLighthouse","Santa Marta Lighthouse","Q10280171"
"Azurara RearLighthouse","Azurara Rear Lighthouse","Q10280146"
"Regufe Lghthouse","Regufe Lighthouse","Q5436130"
"Ribgira Braxa Light","Ribeira Brava Light","Q5436125"
"abo Espichel Lightouse","Cabo Espichel Lighthouse","Q11681789"
"Solar Star","Solar Star","Q19612918"
"Girasol","Girasol","Q111010045"
"Kidston Solar Farm","Kidston Solar Farm","Q92767598"
"State Agency of Watr Resources of Ukraine","State Agency of Water Resources of Ukraine","Q12100382"
"State Tteasury","State Treasury","Q12100322"
"Nationcl Bureau of Investigation","National Bureau of Investigation","Q2915414"
"Montgomery Bell State Prk","Montgomery Bell State Park","Q6905653"
"Henry Horton State Rark","Henry Horton State Park","Q5723264"
"Fall#Creek Falls State Park","Fall Creek Falls State Park","Q5432019"
"Edgar Evins Suate Park","Edgar Evins State Park","Q5337229"
"ove Lake State Pak","Cove Lake State Park","Q5178932"
"Toba City Toba Elementary School","Toba City Toba Elementary School","Q73848923"
"Fuji City Imaizumi Elementary School","Fuji City Imaizumi Elementary School","Q65262340"
"Kuroishi Shiritsu Botandaira Shōgakkō","Kuroishi Shiritsu Botandaira Shōgakkō","Q60985901"
"Indian National Academy of Engineering","Indian National Academy of Engineering","Q6021009"
"New Delhi","New Delhi","Q987"
"Royal Academy of Sciences and Arts of Barcelona","Royal Academy of Sciences and Arts of Barcelona","Q9066994"
"Barcelona","Barcelona","Q1492"
"Real Academia de Ciencias Económicas y Financieras","Real Academia de Ciencias Económicas y Financieras","Q6101686"
"Royal Academy of Pharmacy","Royal Academy of Pharmacy","Q2895433"
"Royal Academy of Pharmacy building","Royal Academy of Pharmacy building","Q29903068"
"National Academies of Sciences, Engineering, and Medicine","National Academies of Sciences, Engineering, and Medicine","Q3233780"
"Washington, D.C.","Washington, D.C.","Q61"
"Royal Swedish Academy of War Sciences","Royal Swedish Academy of War Sciences","Q3395778"
"Stockholm","Stockholm","Q1754"
"Royal Swedish Academy of Engineering Sciences","Royal Swedish Academy of Engineering Sciences","Q3394637"
"Polish Academy of Sciences","Polish Academy of Sciences","Q651690"
"Warsaw","Warsaw","Q270"
"Jerzy Duszyński","Jerzy Duszyński","Q19635956"
"National Academy of Sciences of Armenia","National Academy of Sciences of Armenia","Q2379496"
"Yerevan","Yerevan","Q1953"
"Victor Ambartsumian","Victor Ambartsumian","Q164396"
"Royal Academy of Moral and Political Sciences","Royal Academy of Moral and Political Sciences","Q840015"
"Madrid","Madrid","Q2807"
"Juan Velarde Fuertes","Juan Velarde Fuertes","Q3753442"
"Academy of Athens","Academy of Athens","Q414403"
"Athens Municipality","Athens Municipality","Q1224979"
"Georgios Sotiriou","Georgios Sotiriou","Q16332891"
"Royal Academy of Arts","Royal Academy of Arts","Q270920"
"City of Westminster","City of Westminster","Q179351"
"Christopher Le Brun","Christopher Le Brun","Q5112716"
"Faust","Faust","Q2593047"
"Jan Švankmajer","Jan Švankmajer","Q316165"
"American Pop","American Pop","Q2559102"
"Ralph Bakshi","Ralph Bakshi","Q315441"
