"CY Ursae Majoris","CY Ursae Majoris","Q80607131","0"
"IY Ursae Majoris","IY Ursae Majoris","Q98523828","0"
"SW Ursae Majoris","SW Ursae Majoris","Q79603992","0"
"LEDA 1245565","LEDA 1245565","Q30896257","1"
"SN 2001en","SN 2001en","Q9328250","1"
"SN 1998bp","SN 1998bp","Q9327620","1"
"Arras railway station","Arras railway station","Q1990647","2"
"Guangzhou South railway station","Guangzhou South railway station","Q1073420","2"
"Bilbao-Abando","Bilbao-Abando","Q800535","2"
"Runddeln","Runddelen","Q7379764","3"
"Varefjfll","Vardefjell","Q24254907","3"
"Bukovc.","Bukovec","Q23826100","3"
"Lftschiff","Luftschiff","Q15118894","3"
"Lotterberh","Lotterberg","Q23822585","3"
"Hardy roses for New England gardens. No. 3","Hardy roses for New England gardens. No. 3","Q51389104","4"
"Catalog and hand book of valuable information to growers","Catalog and hand book of valuable information to growers","Q51389099","4"
"Planting contract","Planting contract","Q51389092","4"
"San Pedro","San Pedro","Q6063560","5"
"San Juan","San Juan","Q6063555","5"
"Parroquia Rafael Urdaneta","Parroquia Rafael Urdaneta","Q6063521","5"
"Parroquia Libertad","Parroquia Libertad","Q6063471","5"
"Parroquia La Pastora","Parroquia La Pastora","Q6063453","5"
"La Candelaria","La Candelaria","Q6063451","5"
"Ontinyent","Ontinyent","Q973641","6"
"Parla","Parla","Q824651","6"
"Riolobos","Riolobos","Q1613493","6"
"Cape Barren Island","Cape Barren Island","Q1034271","6"
"Lorena","Lorena","Q27868058","7"
"General Nott","General Nott","Q24027460","7"
"Claudia","Claudia","Q24027414","7"
"shipwrecking","shipwrecking","Q906512","8"
"V466 Andromedae","V466 Andromedae","Q91571634","9"
"VY Aquarii","VY Aquarii","Q86816688","9"
"IR Geminorum","IR Geminorum","Q83220680","9"
"BC Ursae Majoris","BC Ursae Majoris","Q85486413","9"
"CY Ursae Majoris","CY Ursae Majoris","Q80607131","9"
"Galadriel","Galadriel","Q204274","10"
"Amras","Amras","Q431704","10"
"Gil-galad","Gil-galad","Q718383","10"
"House of Finwë","House of Finwë","Q2472713","11"
"St Paul's Church","St Paul's Church","Q26546632","12"
"Tewkesbury Abbey","Tewkesbury Abbey","Q3405514","12"
"Selby Abbey","Selby Abbey","Q1703400","12"
"Grade II listed building","Grade II listed building","Q15700834","13"
"Grade I listed building","Grade I listed building","Q15700818","13"
"Arkhangelsky selsoviet","Arkhangelsky selsoviet","Q4070622","14"
"Zhuravno","Zhuravno","Q9273923","14"
"Haren","Haren","Q111625631","14"
"Arkhangelskoye","Arkhangelskoye","Q1060841","15"
"Zhuravno","Zhuravno","Q9273923","15"
"Haren","Haren","Q111625631","15"
"Cerro!Huarhurcocha","Cerro Huarhurcocha","Q31626589","16"
"Cerro Cuchdmia Punta","Cerro Cuchamia Punta","Q31626539","16"
"Cesro Andahuasi.","Cerro Andahuasi","Q31626527","16"
"Cerro Puludhe","Cerro Puluche","Q31626515","16"
"erro Cru Grande","Cerro Cruz Grande","Q31626502","16"
"Cesro Cariache Punta","Cerro Cariache Punta","Q31626489","16"
"2000 Summer Olympics","2000 Summer Olympics","Q8544","17"
"1996 Summer Olympics","1996 Summer Olympics","Q8531","17"
"1992 Summer Olympics","1992 Summer Olympics","Q8488","17"
"1988 Summer Olympics","1988 Summer Olympics","Q8470","17"
"1984 Summer Olympics","1984 Summer Olympics","Q8456","17"
"1980 Summer Olympics","1980 Summer Olympics","Q8450","17"
"1976 Summer Olympics","1976 Summer Olympics","Q8444","17"
"KV21","KV21","Q742922","18"
"KV49","KV49","Q690563","18"
"KV14","KV14","Q684908","18"
"KV45","KV45","Q662744","18"
"LIN 203","LIN 203","Q95031557","19"
"[SG2005] SMC 42","[SG2005] SMC 42","Q95031510","19"
